Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-04-23T04:00:00.000Z,4719.2001953125,4720.0,4716.7998046875,4718.2001953125,0,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T04:05:00.000Z,4718.6000976562,4722.1000976562,4716.2001953125,4720.0,648,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T04:10:00.000Z,4719.8999023438,4722.2998046875,4719.8999023438,4721.8999023438,337,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T04:15:00.000Z,4722.1000976562,4722.1000976562,4719.5,4720.3999023438,368,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T04:20:00.000Z,4720.1000976562,4722.7001953125,4719.2998046875,4719.7001953125,322,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T04:25:00.000Z,4719.7001953125,4722.0,4718.2998046875,4721.0,364,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T04:30:00.000Z,4721.1000976562,4722.6000976562,4720.5,4721.7998046875,282,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T04:35:00.000Z,4721.6000976562,4722.7001953125,4717.6000976562,4718.7001953125,441,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T04:40:00.000Z,4718.8999023438,4719.2998046875,4717.1000976562,4717.2998046875,401,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T04:45:00.000Z,4717.2001953125,4718.6000976562,4714.2998046875,4718.2001953125,819,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T04:50:00.000Z,4717.8999023438,4719.7001953125,4717.3999023438,4718.2001953125,395,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T04:55:00.000Z,4718.2001953125,4720.3999023438,4717.0,4720.0,309,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T05:00:00.000Z,4720.1000976562,4724.5,4719.2001953125,4723.2001953125,945,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T05:05:00.000Z,4723.0,4725.8999023438,4722.1000976562,4725.3999023438,723,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T05:10:00.000Z,4725.6000976562,4726.2001953125,4723.2998046875,4723.7001953125,564,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T05:15:00.000Z,4723.7998046875,4723.7998046875,4721.3999023438,4722.7001953125,442,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T05:20:00.000Z,4722.7001953125,4725.0,4721.5,4722.0,454,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T05:25:00.000Z,4722.0,4723.2998046875,4720.7998046875,4721.3999023438,384,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T05:30:00.000Z,4721.5,4722.8999023438,4704.8999023438,4721.3999023438,3003,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T05:35:00.000Z,4721.3999023438,4722.1000976562,4717.7001953125,4718.5,775,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T05:40:00.000Z,4718.3999023438,4719.3999023438,4716.2998046875,4717.1000976562,540,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T05:45:00.000Z,4717.5,4726.6000976562,4717.2998046875,4726.2001953125,1092,0.0,0.0,MGC=F,NA,NA,USD
2026-04-23T05:50:00.000Z,4726.5,4731.2998046875,4726.2998046875,4728.0,1516,0.0,0.0,MGC=F,NA,NA,USD
